caminho_lockfile,pacote,versao,dependencia_direta,grupo_direto,dev,devOptional,optional,hasInstallScript
node_modules/@rushstack/eslint-patch,@rushstack/eslint-patch,1.16.1,False,,True,False,False,False
node_modules/@selderee/plugin-htmlparser2,@selderee/plugin-htmlparser2,0.11.0,False,,False,False,False,False
node_modules/@socket.io/component-emitter,@socket.io/component-emitter,3.1.2,False,,False,False,False,False
node_modules/@stablelib/base64,@stablelib/base64,1.0.1,False,,False,False,False,False
node_modules/@supabase/auth-js,@supabase/auth-js,2.116.0,False,,False,False,False,False
node_modules/@supabase/cli-darwin-arm64,@supabase/cli-darwin-arm64,2.117.0,False,,True,False,True,False
node_modules/@supabase/cli-darwin-x64,@supabase/cli-darwin-x64,2.117.0,False,,True,False,True,False
node_modules/@supabase/cli-linux-arm64,@supabase/cli-linux-arm64,2.117.0,False,,True,False,True,False
node_modules/@supabase/cli-linux-arm64-musl,@supabase/cli-linux-arm64-musl,2.117.0,False,,True,False,True,False
node_modules/@supabase/cli-linux-x64,@supabase/cli-linux-x64,2.117.0,False,,True,False,True,False
node_modules/@supabase/cli-linux-x64-musl,@supabase/cli-linux-x64-musl,2.117.0,False,,True,False,True,False
node_modules/@supabase/cli-windows-arm64,@supabase/cli-windows-arm64,2.117.0,False,,True,False,True,False
node_modules/@supabase/cli-windows-x64,@supabase/cli-windows-x64,2.117.0,False,,True,False,True,False
node_modules/@supabase/functions-js,@supabase/functions-js,2.116.0,False,,False,False,False,False
node_modules/@supabase/phoenix,@supabase/phoenix,0.4.5,False,,False,False,False,False
node_modules/@supabase/postgrest-js,@supabase/postgrest-js,2.116.0,False,,False,False,False,False
node_modules/@supabase/realtime-js,@supabase/realtime-js,2.116.0,False,,False,False,False,False
node_modules/@supabase/ssr,@supabase/ssr,0.12.6,True,dependencies,False,False,False,False
node_modules/@supabase/storage-js,@supabase/storage-js,2.116.0,False,,False,False,False,False
node_modules/@supabase/supabase-js,@supabase/supabase-js,2.116.0,True,dependencies,False,False,False,False
node_modules/@swc/helpers,@swc/helpers,0.5.15,False,,False,False,False,False
node_modules/@tailwindcss/node,@tailwindcss/node,4.3.3,False,,True,False,False,False
node_modules/@tailwindcss/oxide,@tailwindcss/oxide,4.3.3,False,,True,False,False,False
node_modules/@tailwindcss/oxide-android-arm64,@tailwindcss/oxide-android-arm64,4.3.3,False,,True,False,True,False
node_modules/@tailwindcss/oxide-darwin-arm64,@tailwindcss/oxide-darwin-arm64,4.3.3,False,,True,False,True,False
node_modules/@tailwindcss/oxide-darwin-x64,@tailwindcss/oxide-darwin-x64,4.3.3,False,,True,False,True,False
node_modules/@tailwindcss/oxide-freebsd-x64,@tailwindcss/oxide-freebsd-x64,4.3.3,False,,True,False,True,False
node_modules/@tailwindcss/oxide-linux-arm-gnueabihf,@tailwindcss/oxide-linux-arm-gnueabihf,4.3.3,False,,True,False,True,False
node_modules/@tailwindcss/oxide-linux-arm64-gnu,@tailwindcss/oxide-linux-arm64-gnu,4.3.3,False,,True,False,True,False
node_modules/@tailwindcss/oxide-linux-arm64-musl,@tailwindcss/oxide-linux-arm64-musl,4.3.3,False,,True,False,True,False
node_modules/@tailwindcss/oxide-linux-x64-gnu,@tailwindcss/oxide-linux-x64-gnu,4.3.3,False,,True,False,True,False
node_modules/@tailwindcss/oxide-linux-x64-musl,@tailwindcss/oxide-linux-x64-musl,4.3.3,False,,True,False,True,False
node_modules/@tailwindcss/oxide-wasm32-wasi,@tailwindcss/oxide-wasm32-wasi,4.3.3,False,,True,False,True,False
node_modules/@tailwindcss/oxide-win32-arm64-msvc,@tailwindcss/oxide-win32-arm64-msvc,4.3.3,False,,True,False,True,False
node_modules/@tailwindcss/oxide-win32-x64-msvc,@tailwindcss/oxide-win32-x64-msvc,4.3.3,False,,True,False,True,False
node_modules/@tailwindcss/postcss,@tailwindcss/postcss,4.3.3,True,devDependencies,True,False,False,False
node_modules/@tybys/wasm-util,@tybys/wasm-util,0.10.3,False,,True,False,True,False
node_modules/@types/chai,@types/chai,5.2.3,False,,True,False,False,False
node_modules/@types/cors,@types/cors,2.8.19,False,,False,False,False,False
node_modules/@types/deep-eql,@types/deep-eql,4.0.2,False,,True,False,False,False
node_modules/@types/estree,@types/estree,1.0.9,False,,True,False,False,False
node_modules/@types/json-schema,@types/json-schema,7.0.15,False,,True,False,False,False
node_modules/@types/json5,@types/json5,0.0.29,False,,True,False,False,False
node_modules/@types/node,@types/node,22.20.1,True,devDependencies,False,False,False,False
node_modules/@types/react,@types/react,19.2.18,True,devDependencies,True,False,False,False
node_modules/@types/react-dom,@types/react-dom,19.2.7,True,devDependencies,True,False,False,False
node_modules/@types/ws,@types/ws,8.18.1,False,,False,False,False,False
node_modules/@typescript-eslint/eslint-plugin,@typescript-eslint/eslint-plugin,8.70.0,False,,True,False,False,False
node_modules/@typescript-eslint/eslint-plugin/node_modules/ignore,ignore,7.0.8,False,,True,False,False,False
node_modules/@typescript-eslint/parser,@typescript-eslint/parser,8.70.0,False,,True,False,False,False
node_modules/@typescript-eslint/project-service,@typescript-eslint/project-service,8.70.0,False,,True,False,False,False
node_modules/@typescript-eslint/scope-manager,@typescript-eslint/scope-manager,8.70.0,False,,True,False,False,False
node_modules/@typescript-eslint/tsconfig-utils,@typescript-eslint/tsconfig-utils,8.70.0,False,,True,False,False,False
node_modules/@typescript-eslint/type-utils,@typescript-eslint/type-utils,8.70.0,False,,True,False,False,False
node_modules/@typescript-eslint/types,@typescript-eslint/types,8.70.0,False,,True,False,False,False
node_modules/@typescript-eslint/typescript-estree,@typescript-eslint/typescript-estree,8.70.0,False,,True,False,False,False
node_modules/@typescript-eslint/typescript-estree/node_modules/balanced-match,balanced-match,4.0.4,False,,True,False,False,False
node_modules/@typescript-eslint/typescript-estree/node_modules/brace-expansion,brace-expansion,5.0.9,False,,True,False,False,False
node_modules/@typescript-eslint/typescript-estree/node_modules/minimatch,minimatch,10.2.6,False,,True,False,False,False
node_modules/@typescript-eslint/utils,@typescript-eslint/utils,8.70.0,False,,True,False,False,False
node_modules/@typescript-eslint/visitor-keys,@typescript-eslint/visitor-keys,8.70.0,False,,True,False,False,False
node_modules/@typescript-eslint/visitor-keys/node_modules/eslint-visitor-keys,eslint-visitor-keys,5.0.1,False,,True,False,False,False
node_modules/@unrs/resolver-binding-android-arm-eabi,@unrs/resolver-binding-android-arm-eabi,1.12.2,False,,True,False,True,False
node_modules/@unrs/resolver-binding-android-arm64,@unrs/resolver-binding-android-arm64,1.12.2,False,,True,False,True,False
node_modules/@unrs/resolver-binding-darwin-arm64,@unrs/resolver-binding-darwin-arm64,1.12.2,False,,True,False,True,False
node_modules/@unrs/resolver-binding-darwin-x64,@unrs/resolver-binding-darwin-x64,1.12.2,False,,True,False,True,False
node_modules/@unrs/resolver-binding-freebsd-x64,@unrs/resolver-binding-freebsd-x64,1.12.2,False,,True,False,True,False
node_modules/@unrs/resolver-binding-linux-arm-gnueabihf,@unrs/resolver-binding-linux-arm-gnueabihf,1.12.2,False,,True,False,True,False
node_modules/@unrs/resolver-binding-linux-arm-musleabihf,@unrs/resolver-binding-linux-arm-musleabihf,1.12.2,False,,True,False,True,False
node_modules/@unrs/resolver-binding-linux-arm64-gnu,@unrs/resolver-binding-linux-arm64-gnu,1.12.2,False,,True,False,True,False
node_modules/@unrs/resolver-binding-linux-arm64-musl,@unrs/resolver-binding-linux-arm64-musl,1.12.2,False,,True,False,True,False
node_modules/@unrs/resolver-binding-linux-loong64-gnu,@unrs/resolver-binding-linux-loong64-gnu,1.12.2,False,,True,False,True,False
node_modules/@unrs/resolver-binding-linux-loong64-musl,@unrs/resolver-binding-linux-loong64-musl,1.12.2,False,,True,False,True,False
node_modules/@unrs/resolver-binding-linux-ppc64-gnu,@unrs/resolver-binding-linux-ppc64-gnu,1.12.2,False,,True,False,True,False
node_modules/@unrs/resolver-binding-linux-riscv64-gnu,@unrs/resolver-binding-linux-riscv64-gnu,1.12.2,False,,True,False,True,False
node_modules/@unrs/resolver-binding-linux-riscv64-musl,@unrs/resolver-binding-linux-riscv64-musl,1.12.2,False,,True,False,True,False
node_modules/@unrs/resolver-binding-linux-s390x-gnu,@unrs/resolver-binding-linux-s390x-gnu,1.12.2,False,,True,False,True,False
node_modules/@unrs/resolver-binding-linux-x64-gnu,@unrs/resolver-binding-linux-x64-gnu,1.12.2,False,,True,False,True,False
